Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2016,"Jeff Locke","PIT",6,8,8,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.125,2929
2016,"Mitch Moreland","TEX",64,100,94,26,17,4,0,5,5,18,5,0,26,1,0,0,2,0,0,0.27659574,3086
2016,"Gregor Blanco","SFG",43,73,62,15,11,2,2,0,0,4,9,2,10,1,0,1,1,0,0,0.24193548,3123
2016,"Shin-Soo Choo","TEX",23,56,46,14,9,1,0,4,4,6,7,0,10,3,0,0,0,0,0,0.30434783,3174
2016,"David Price","BOS",1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3184
2016,"Francisco Liriano","PIT",3,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3201
2016,"Julio Borbon","BAL",2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3209
2016,"Robinson Cano","SEA",115,275,258,71,49,9,2,11,11,34,12,0,43,4,1,0,10,0,0,0.2751938,3269
2016,"Matt Joyce","PIT",34,42,34,8,5,2,0,1,1,5,8,0,9,0,0,0,1,0,0,0.23529412,3353
2016,"Miguel Montero","CHC",26,40,37,7,7,0,0,0,0,3,1,0,8,2,0,0,1,0,0,0.18918919,3364
2016,"Alejandro De Aza","NYM",32,48,41,8,5,3,0,0,0,1,5,1,13,2,0,0,1,0,0,0.19512195,3371
2016,"Anthony Rizzo","CHC",89,205,176,46,26,12,0,8,8,33,19,0,27,10,0,0,4,0,0,0.26136364,3473
2016,"Eric Hosmer","KCR",102,218,202,47,34,4,1,8,8,40,13,1,45,0,3,0,4,0,0,0.23267327,3516
2016,"Danny Duffy","KCR",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3542
2016,"Clayton Richard","SDP",5,7,5,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.2,3551
2016,"Brett Oberholtzer","PHI",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3855
2016,"Josh Reddick","2 Tms",59,104,97,15,15,0,0,0,0,4,7,0,19,0,0,0,3,0,0,0.15463918,3892
