WK,date,DoW,SEA,SF,OAK,LAD,LAA,SD,ARI,COL,TEX,HOU,KC,STL,MIN,MIL,CHC,CHW,DET,CIN,CLE,PIT,TOR,BOS,NYY,NYM,PHI,BAL,WSH,ATL,TB,MIA,Games
18,7/23/2020,Thu,,,,,,,,MIA,HOU,,,CHC,,,,MIN,CLE,NYM,,SD,,,LAA,,WSH,,,,,,9
18,7/24/2020,Fri,TOR,ARI,,,,,,,LAA,CLE,SD,CHC,,PIT,,MIN,,COL,,,,,BOS,,NYM,OAK,ATL,,DET,LAD,15
18,7/25/2020,Sat,TOR,ARI,,,,,,,LAA,CLE,SD,CHC,,PIT,,MIN,,COL,,,,,BOS,,NYM,OAK,ATL,,DET,LAD,15
18,7/26/2020,Sun,TOR,ARI,,,,,,,LAA,CLE,SD,CHC,,PIT,,MIN,,COL,,,,,BOS,,NYM,OAK,ATL,,DET,LAD,15
19,7/27/2020,Mon,,CHC,,,TOR,PIT,PHI,,,OAK,,,,STL,,DET,,,,,,BAL,,,,,COL,CIN,,LAD,11
19,7/28/2020,Tue,TEX,CHC,,,TOR,PIT,PHI,,,OAK,,,LAD,STL,,DET,,,KC,,,BAL,,NYY,,,COL,CIN,MIA,,15
19,7/29/2020,Wed,TEX,CHC,,,TOR,PIT,PHI,,,OAK,,,LAD,STL,,DET,,,KC,,,BAL,,NYY,,,COL,CIN,MIA,,15
19,7/30/2020,Thu,,CHC,TEX,,SEA,PHI,LAD,,,,,,,STL,,,KC,,CHW,,,NYY,,MIA,,,,CIN,,,11
19,7/31/2020,Fri,,,TEX,,SEA,PHI,LAD,SF,,,,,HOU,,MIL,,KC,TB,CHW,STL,BAL,NYY,,MIA,,,,WSH,,,15
19,8/1/2020,Sat,,,TEX,,SEA,PHI,LAD,SF,,,,,HOU,,MIL,,KC,TB,CHW,STL,BAL,NYY,,MIA,,,,WSH,,,15
19,8/2/2020,Sun,,,TEX,,SEA,PHI,LAD,SF,,,,,HOU,,MIL,,KC,TB,CHW,STL,BAL,NYY,,MIA,,,,WSH,,,15
20,8/3/2020,Mon,,,SEA,SD,TEX,,,NYM,,,,,CLE,,ATL,,,,,MIL,TB,,CHW,,,,,,,,9
20,8/4/2020,Tue,,,SEA,SD,TEX,,,NYM,,ARI,STL,,CLE,,ATL,,SF,,,MIL,TB,,CHW,,CIN,BOS,,,,WSH,15
20,8/5/2020,Wed,,,,SD,,,,NYM,,ARI,STL,,CLE,,ATL,,SF,,,MIL,TB,,CHW,,CIN,BOS,,,,WSH,13
20,8/6/2020,Thu,LAA,,,NYM,,,,,DET,TOR,MIN,,,,ATL,,,,,ARI,,,OAK,,CIN,BOS,,,,WSH,11
20,8/7/2020,Fri,LAA,,,NYM,,COL,,,DET,TOR,MIN,CIN,,CHC,,CLE,,,,ARI,,,OAK,,SF,,,,BOS,ATL,14
20,8/8/2020,Sat,LAA,,,NYM,,COL,,,DET,TOR,MIN,CIN,,CHC,,CLE,,,,ARI,,,OAK,,SF,WSH,,,BOS,ATL,15
20,8/9/2020,Sun,LAA,,,NYM,,COL,,,DET,TOR,MIN,CIN,,CHC,,CLE,,,,ARI,,,OAK,,SF,WSH,,,BOS,ATL,15
21,8/10/2020,Mon,HOU,,,,,,COL,,,,NYY,PIT,,,,LAA,,,,,,MIN,,,SF,,OAK,,TOR,,9
21,8/11/2020,Tue,HOU,LAD,,,,,COL,,PHI,,NYY,PIT,,MIA,,LAA,BAL,CHC,SD,,,MIN,,ATL,,,OAK,,TOR,,15
21,8/12/2020,Wed,HOU,LAD,,,,,COL,,PHI,,NYY,PIT,,MIA,,LAA,BAL,CHC,SD,,,MIN,,ATL,,,OAK,,TOR,,15
21,8/13/2020,Thu,,LAD,,,HOU,,COL,,,,,,,MIA,,NYY,BAL,PIT,,,,MIN,,ATL,,,SD,,TOR,,11
21,8/14/2020,Fri,,COL,,ARI,HOU,,,,,,,MIL,KC,,,,TEX,PIT,SEA,,CHC,OAK,,PHI,,,SD,MIA,BAL,,14
21,8/15/2020,Sat,,COL,,ARI,HOU,,,,,,,MIL,KC,,,NYY,TEX,PIT,SEA,,CHC,OAK,,PHI,,,SD,MIA,BAL,,15
21,8/16/2020,Sun,,COL,,ARI,HOU,,,,,,,MIL,KC,,,NYY,TEX,PIT,SEA,,CHC,OAK,,PHI,,,SD,MIA,BAL,,15
22,8/17/2020,Mon,,,CLE,,,,KC,WSH,,SEA,,,,,LAD,,,,,,,,TB,,,TEX,,MIL,,,8
22,8/18/2020,Tue,,,CLE,,NYM,SF,KC,WSH,,SEA,,,CHW,,LAD,,,,,DET,STL,CIN,TB,,,TEX,,MIL,,PHI,15
22,8/19/2020,Wed,,,CLE,,NYM,SF,,WSH,,SEA,,,CHW,,LAD,,,,,DET,STL,CIN,TB,,,TEX,,MIL,,PHI,14
22,8/20/2020,Thu,CHW,,,,NYM,,SF,WSH,,,CLE,,,CIN,LAD,,,,,MIA,,,TOR,,,BOS,,,,,10
22,8/21/2020,Fri,CHW,,NYM,,TB,WSH,SF,LAD,,TEX,CLE,,DET,CIN,STL,,,,,MIA,,,TOR,,ATL,BOS,,,,,15
22,8/22/2020,Sat,CHW,,NYM,,TB,WSH,SF,LAD,,TEX,CLE,,DET,CIN,STL,,,,,MIA,,,TOR,,ATL,BOS,,,,,15
22,8/23/2020,Sun,CHW,,NYM,,TB,WSH,SF,LAD,,TEX,CLE,,DET,CIN,STL,,,,,MIA,,,TOR,,ATL,BOS,,,,,15
